gestion,departamento,tipo,cantidad
2011,BENI,EMPRESA UNIPERSONAL,3077
2011,BENI,SOCIEDAD ANONIMA,30
2011,BENI,SOCIEDAD COLECTIVA,1
2011,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,499
2011,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2011,CHUQUISACA,EMPRESA UNIPERSONAL,4281
2011,CHUQUISACA,SOCIEDAD ANONIMA,26
2011,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2011,CHUQUISACA,SOCIEDAD COLECTIVA,2
2011,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,750
2011,COCHABAMBA,EMPRESA UNIPERSONAL,18333
2011,COCHABAMBA,SOCIEDAD ANONIMA,286
2011,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2011,COCHABAMBA,SOCIEDAD COLECTIVA,21
2011,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,4776
2011,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2011,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,10
2011,LA PAZ,EMPRESA UNIPERSONAL,28245
2011,LA PAZ,SOCIEDAD ANONIMA,1346
2011,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2011,LA PAZ,SOCIEDAD COLECTIVA,46
2011,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,14512
2011,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2011,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2011,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,242
2011,ORURO,EMPRESA UNIPERSONAL,4811
2011,ORURO,SOCIEDAD ANONIMA,39
2011,ORURO,SOCIEDAD COLECTIVA,6
2011,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1447
2011,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2011,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2011,PANDO,EMPRESA UNIPERSONAL,975
2011,PANDO,SOCIEDAD ANONIMA,9
2011,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,154
2011,POTOSI,EMPRESA UNIPERSONAL,3361
2011,POTOSI,SOCIEDAD ANONIMA,33
2011,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2011,POTOSI,SOCIEDAD COLECTIVA,8
2011,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1287
2011,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2011,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2011,SANTA CRUZ,EMPRESA UNIPERSONAL,22630
2011,SANTA CRUZ,SOCIEDAD ANONIMA,1042
2011,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2011,SANTA CRUZ,SOCIEDAD COLECTIVA,13
2011,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,10558
2011,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,2
2011,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,145
2011,TARIJA,EMPRESA UNIPERSONAL,5155
2011,TARIJA,SOCIEDAD ANONIMA,44
2011,TARIJA,SOCIEDAD COLECTIVA,2
